jugador,valores_mercado,edad,equipo,minutos,goles,xg,xgot,goles_penalti,xg_sin_penaltis,tiro,disp_a_puerta,headed_shots,asistencias,xa,pases_comp_pct,bal_largos_pct,oport_creadas,gr_oport_creadas,regates_pct,duelos_gan_pct,pct_aereo_gan,toques,toques_area_rival,perdidas,faltas_recib,penaltis_a_favor,recuperaciones,pos_gan_tercio_of,Indice_Barca,Goles_5_y,Indice_Bruto,Indice_Barca_Final_ML
Harry Kane,65,32,Bayern Munich,1858,1.36,1.02,1.19,0.44,0.68,4.5,2.71,0.58,0.24,0.16,0.813,0.75,1.5,0.68,0.641,0.537,0.593,44.76,6.68,1.11,1.4,0.1,2.91,0.58,100.0,137,25.03732359838637,99.99999999999997
Luis Suárez,28,22,Sporting Portugal,1864,0.97,0.77,0.9,0.1,0.66,4.78,2.17,0.48,0.19,0.13,0.734,0.412,1.59,0.43,0.558,0.448,0.404,35.73,8.59,1.3,1.55,0.0,1.83,0.68,85.1577805894982,68,20.814601172006682,74.87133601362834
Fabio Silva,28,23,Borussia Dortmund,472,0.19,0.27,0.17,0.0,0.27,2.67,0.76,0.95,0.95,0.27,0.747,0.4,2.48,0.76,0.474,0.351,0.346,49.39,5.72,2.1,1.33,0.0,3.43,0.95,78.27615412487607,27,18.585809566153486,61.60819681005359
Julián Álvarez,100,26,Atletico Madrid,1706,0.37,0.36,0.48,0.11,0.24,2.43,1.21,0.11,0.16,0.23,0.826,0.704,2.27,0.47,0.5,0.381,0.217,49.27,4.22,1.64,0.95,0.0,2.53,0.74,65.0513778772845,68,17.90538716393962,57.559125100480905
Mikel Oyarzabal,25,28,Real Sociedad,1894,0.48,0.51,0.5,0.19,0.36,2.95,1.28,0.62,0.14,0.14,0.77,0.55,1.57,0.48,0.535,0.412,0.29,39.58,5.23,1.43,1.52,0.0,3.28,0.86,65.50005108068933,41,17.158276029602106,53.11320070394415
Marcus Thuram,60,28,Inter,1262,0.5,0.45,0.56,0.0,0.45,3.64,1.5,1.35,0.21,0.12,0.745,1.0,1.64,0.21,0.667,0.508,0.535,40.86,8.42,1.64,1.93,0.07,2.07,0.78,62.81507153556096,50,17.04046054717856,52.412101893442475
Endrick,25,19,Real Madrid,418,0.65,0.59,0.76,0.22,0.42,2.8,2.15,0.22,0.22,0.15,0.759,0.667,1.72,0.86,0.419,0.41,0.2,49.52,5.81,1.29,1.72,0.22,2.8,0.86,62.62571591054544,18,16.050656491592086,46.52195543962865
Fisnik Asllani,30,23,Hoffenheim,1522,0.41,0.34,0.39,0.0,0.34,2.84,1.01,0.59,0.24,0.18,0.683,0.5,1.54,0.35,0.393,0.386,0.279,40.39,5.68,1.3,1.89,0.06,2.96,1.01,51.59464083310483,29,14.78538710189569,38.99256417599755
Omar Marmoush,65,27,Manchester City,445,0.2,0.36,0.21,0.0,0.36,3.64,1.21,0.2,0.4,0.14,0.874,1.0,2.02,0.4,0.4,0.484,0.333,45.51,7.28,1.82,2.83,0.0,2.63,0.61,37.654501724885534,40,13.099202546526007,28.958382235409722
Serhou Guirassy,40,29,Borussia Dortmund,1713,0.58,0.57,0.62,0.05,0.45,2.99,1.37,0.95,0.05,0.14,0.753,0.6,0.79,0.05,0.55,0.483,0.564,36.67,5.36,1.21,1.31,0.11,2.26,0.47,28.85933367875495,80,13.029629064666725,28.54436292003107
Joaquin Panichelli,25,23,Strabourg,1944,0.6,0.6,0.6,0.23,0.38,2.45,1.25,1.02,0.05,0.06,0.737,0.333,1.02,0.23,0.379,0.459,0.453,34.63,4.95,1.02,1.76,0.0,3.06,0.79,31.924074738430548,33,12.0595354490753,22.77150976036439
Ferran Torres,50,25,Barcelona,1394,0.77,0.74,0.61,0.0,0.74,3.49,1.74,0.65,0.06,0.09,0.738,0.5,1.1,0.19,0.278,0.429,0.571,31.76,6.33,0.77,0.71,0.0,1.74,0.58,23.236249606820365,39,10.982937121839212,16.364866158975822
Robinio Vaz,10,19,Roma,373,0.97,0.56,0.4,0.0,0.56,1.93,1.45,0.72,0.48,0.09,0.771,1.0,1.45,0.48,0.333,0.4,0.357,35.23,6.51,1.45,2.17,0.24,1.93,0.24,17.486419295100966,4,9.098357276148857,5.15006941979204
Dusan Vlahovic,35,26,Juventus,682,0.4,0.54,0.53,0.13,0.44,3.96,1.45,1.06,0.13,0.09,0.685,0.714,0.92,0.0,0.5,0.463,0.447,32.46,6.33,1.85,1.98,0.13,1.06,0.4,0.0,63,8.342667182572297,0.6530931751101079
Karl Etta-Eyong,22,20,Levante,1552,0.35,0.42,0.39,0.0,0.38,2.38,0.99,0.64,0.17,0.09,0.694,0.636,0.7,0.17,0.385,0.436,0.325,32.65,3.77,1.8,1.91,0.0,2.84,0.99,10.67369578702604,8,8.232918761464488,0.0
